name_place,mùa hè xanh là diễn ra ở cơ sở 2 đh bách khoa phải không
name_place,cơ sở 2 đh bách khoa là nơi diễn ra mùa hè xanh phải không bạn
name_place,nơi diễn ra mùa hè xanh có phải cơ sở 2 đh bách khoa không
reward,đi mùa hè xanh là được 2 ngày ctxh phải không
reward,đi mùa hè xanh có được ngày ctxh không bạn
reward,đi mùa hè xanh là được điểm rèn luyện phải không
time,mùa hè xanh là diễn ra vào cuối tháng 8 phải không bạn
time,mùa hè xanh là diễn ra lúc 8h ngày 20/11/2020 phải không bạn
type_activity,mùa hè xanh là loại hoạt động tình nguyện phải không bạn
type_activity,cho mình hỏi mùa hè xanh thuộc loại hoạt động tình nguyện phải không bạn
works,đi mùa hè xanh là phụ cơm nước và chuẩn bị bàn ghế đúng không bạn
works,công việc ở mùa hè xanh là mình phụ dọn dẹp nhà đúng không bạn
